epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,18060.3,0.97752,0.60932,1.07764,0.83766,0.8337,0.87003,0.58076,1.13903,0.62588,1.32193,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
31,18654.8,0.97379,0.60956,1.07596,0.8274,0.83897,0.86574,0.57931,1.13291,0.62374,1.31174,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,19248.9,0.97002,0.6016,1.07254,0.82906,0.83517,0.86827,0.57986,1.13396,0.62445,1.3016,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
33,19843.1,0.96909,0.59684,1.07278,0.84034,0.83191,0.86995,0.58275,1.13556,0.61898,1.2973,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
34,20438.2,0.94941,0.58751,1.05997,0.83578,0.83734,0.8709,0.58384,1.13302,0.61401,1.28447,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
35,21031.8,0.94673,0.58185,1.06408,0.82694,0.83642,0.8679,0.5838,1.12962,0.61308,1.3037,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
36,21626.4,0.94474,0.57482,1.06232,0.83926,0.83127,0.86855,0.58273,1.13055,0.61651,1.29842,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
37,22220.4,0.93812,0.57194,1.05958,0.83666,0.8363,0.87095,0.58493,1.12763,0.61587,1.2958,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
38,22814.4,0.93158,0.56316,1.0582,0.82988,0.84147,0.87143,0.58726,1.13136,0.61434,1.29147,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
39,23408.4,0.93143,0.56098,1.05675,0.83571,0.84369,0.87223,0.58708,1.12754,0.61464,1.29165,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
40,24002.5,0.91805,0.55168,1.05035,0.83691,0.83988,0.86642,0.58394,1.12761,0.61819,1.29636,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
41,24596.4,0.91714,0.54688,1.04751,0.83401,0.84365,0.86734,0.58628,1.12848,0.61747,1.29687,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
42,25189.1,0.91007,0.54297,1.04488,0.83877,0.84121,0.86873,0.58634,1.12842,0.62011,1.29854,0.00750533,0.00250178,0.00750533,0.00250178,0.00750533,0.00250178,0.00750533,0.00250178
43,25781.3,0.90901,0.53933,1.04844,0.8394,0.84264,0.86967,0.58766,1.13126,0.61976,1.2982,0.00686008,0.00228669,0.00686008,0.00228669,0.00686008,0.00228669,0.00686008,0.00228669
44,26374.2,0.90515,0.5358,1.04356,0.83824,0.84468,0.8711,0.58791,1.13095,0.6225,1.29404,0.00623682,0.00207894,0.00623682,0.00207894,0.00623682,0.00207894,0.00623682,0.00207894
45,26967.2,0.8978,0.52939,1.03991,0.84157,0.83953,0.86946,0.58681,1.13144,0.62625,1.29408,0.00563719,0.00187906,0.00563719,0.00187906,0.00563719,0.00187906,0.00563719,0.00187906
46,27560.5,0.89255,0.52241,1.03807,0.83859,0.84464,0.86985,0.58704,1.13308,0.62451,1.29689,0.00506279,0.0016876,0.00506279,0.0016876,0.00506279,0.0016876,0.00506279,0.0016876
47,28153.4,0.88501,0.51726,1.03622,0.8474,0.83886,0.86914,0.58769,1.12939,0.62617,1.29732,0.00451514,0.00150505,0.00451514,0.00150505,0.00451514,0.00150505,0.00451514,0.00150505
48,28746.8,0.88658,0.51791,1.03791,0.8475,0.83855,0.86794,0.58654,1.13108,0.62549,1.29852,0.00399569,0.0013319,0.00399569,0.0013319,0.00399569,0.0013319,0.00399569,0.0013319
49,29340.1,0.87867,0.51393,1.03112,0.84852,0.83809,0.86926,0.58703,1.1328,0.62788,1.29883,0.00350582,0.00116861,0.00350582,0.00116861,0.00350582,0.00116861,0.00350582,0.00116861
50,29933.9,0.87806,0.50931,1.03195,0.84386,0.84009,0.86848,0.58702,1.13411,0.6282,1.29776,0.00304683,0.00101561,0.00304683,0.00101561,0.00304683,0.00101561,0.00304683,0.00101561
51,30527.2,0.87221,0.50502,1.03052,0.84182,0.84073,0.86712,0.58628,1.13512,0.62889,1.2989,0.00261993,0.000873311,0.00261993,0.000873311,0.00261993,0.000873311,0.00261993,0.000873311
52,31118.9,0.85204,0.45265,1.03762,0.84096,0.84045,0.86577,0.5854,1.13437,0.62925,1.29975,0.00222626,0.000742088,0.00222626,0.000742088,0.00222626,0.000742088,0.00222626,0.000742088
53,31708.5,0.8459,0.4488,1.03575,0.84366,0.83549,0.86439,0.58498,1.13558,0.63083,1.30198,0.00186687,0.000622289,0.00186687,0.000622289,0.00186687,0.000622289,0.00186687,0.000622289
54,32299.4,0.84645,0.44614,1.03798,0.8449,0.83421,0.86415,0.58419,1.1352,0.63286,1.30269,0.00154269,0.000514231,0.00154269,0.000514231,0.00154269,0.000514231,0.00154269,0.000514231
